name,radius,dot_radius,derived_dot_mass,mass_out_log,luminosity_AGN_log,smbh_mass_log,smbh_min_log,smbh_max_log,lum_min_log,lum_max_log,mdot_min,mdot_max,mdot_log_g_s,mdot_log_g_s_min,mdot_log_g_s_max,ref,type,log_f_Edd,agn_type
IRASF10565,1.1,450,95.43,8.34,44.85,7.6,7.04,8.02,44.48,45.05,45.67,194.84,27.78,27.46,28.09,Cic14,full,-0.86,Type 2
IRASF10565_1,0.48,250,91.13,8.23,44.85,7.6,7.04,8.02,44.48,45.05,44.63,190.4,27.76,27.45,28.08,G-A17,component,-0.86,Type 2
IRASF10565_2,0.4,420,173.65,8.2,44.85,7.6,7.04,8.02,44.48,45.05,85.05,362.8,28.04,27.73,28.36,G-A17,component,-0.86,Type 2
IRASF10565_sum,0.44,355,294.9,8.56,44.85,7.6,7.04,8.02,44.48,45.05,173.65,512.48,28.27,28.04,28.51,G-A17,full,-0.86,Type 2
IRASF14348SW,1.64,415,141.15,8.73,45.15,8.4,8.25,8.56,44.67,45.37,69.13,288.19,27.95,27.64,28.26,P-S18,component,-1.36,LINER
IRASF14348NE,0.935,370,42.63,8.02,45.15,8.4,8.25,8.56,44.67,45.37,20.88,89.06,27.43,27.12,27.75,P-S18,component,-1.36,LINER
IRASF14348_sum,1.45,387,199.41,8.83,45.15,8.4,8.25,8.56,44.67,45.37,114.75,354.61,28.1,27.86,28.35,P-S18,full,-1.36,LINER
IRASF14348_1,0.24,100,1070.71,9.4,45.15,8.4,8.25,8.56,44.67,45.37,536.63,2289.14,28.83,28.53,29.16,G-A17,component,-1.36,LINER
IRASF14348_2,0.37,600,114.73,7.83,45.15,8.4,8.25,8.56,44.67,45.37,54.91,239.7,27.86,27.54,28.18,G-A17,component,-1.36,LINER
IRASF14348_3,0.34,300,315.99,8.54,45.15,8.4,8.25,8.56,44.67,45.37,151.24,660.2,28.3,27.98,28.62,G-A17,component,-1.36,LINER
IRASF14348_sum2,0.25,130,1658.65,9.48,45.15,8.4,8.25,8.56,44.67,45.37,999.44,2949.55,29.02,28.8,29.27,G-A17,full,-1.36,LINER
Mrk273,0.55,620,190.4,8.21,45.48,9.12,0.1,0.1,45.23,45.64,93.26,388.75,28.08,27.77,28.39,Cic14,full,-1.75,Type 2
Mrk273_1,0.13,300,122.93,7.71,45.48,9.12,0.1,0.1,45.23,45.64,60.21,256.85,27.89,27.58,28.21,G-A17,component,-1.75,Type 2
Mrk273_2,0.34,700,234.25,8.04,45.48,9.12,0.1,0.1,45.23,45.64,114.73,489.41,28.17,27.86,28.49,G-A17,component,-1.75,Type 2
Mrk273_sum,0.25,520,397.88,8.25,45.48,9.12,0.1,0.1,45.23,45.64,234.29,707.55,28.4,28.17,28.65,G-A17,full,-1.75,Type 2
4C1250,0.27,640,128.73,7.72,45.65,8.41,8.05,8.74,45.39,45.81,63.05,268.95,27.91,27.6,28.23,D&C11,full,-0.87,Type 2
IRAS05189,1.04,445,37.13,7.92,45.65,8.86,8.56,9.12,45.55,45.73,18.18,75.8,27.37,27.06,27.68,Lut19,full,-1.32,Type 2
IRAS05189_1,0.17,200,122.93,8,45.65,8.86,8.56,9.12,45.55,45.73,60.21,245.29,27.89,27.58,28.19,G-A17,component,-1.32,Type 2
IRAS05189_2,0.34,550,151.24,7.95,45.65,8.86,8.56,9.12,45.55,45.73,74.08,308.8,27.98,27.67,28.29,G-A17,component,-1.32,Type 2
IRAS05189_sum,0.23,330,308.86,8.32,45.65,8.86,8.56,9.12,45.55,45.73,181.87,524.51,28.29,28.06,28.52,G-A17,full,-1.32,Type 2
IRAS22491,0.515,325,91.13,8.14,44.95,8.1,7.85,8.33,44.78,45.08,43.62,186.07,27.76,27.44,28.07,P-S18,full,-1.26,HII
IRAS17208,0.38,1115,112.12,7.57,45.02,8.98,8.9,9.05,44.23,45.28,56.19,234.25,27.85,27.55,28.17,Lut19,full,-2.07,HII
IRAS12112SW,0.77,325,13.48,7.5,44.84,7.98,7.81,8.15,44.28,45.07,6.6,28.82,26.93,26.62,27.26,P-S18,component,-1.25,LINER
IRAS12112NE,1.605,470,181.83,8.77,44.84,7.98,7.81,8.15,44.28,45.07,85.05,379.9,28.06,27.73,28.38,P-S18,component,-1.25,LINER
IRAS12112_total,1.54,460,199.38,8.8,44.84,7.98,7.81,8.15,44.28,45.07,102.25,397.81,28.1,27.81,28.4,P-S18,full,-1.25,LINER
Arp220_r,0.065,315,12.87,6.4,44.99,8.11,7.98,8.24,44.5,45.21,6.3,26.9,26.91,26.6,27.23,B-M18,component,-1.23,LINER
Arp220_b,0.115,490,35.45,6.9,44.99,8.11,7.98,8.24,44.5,45.21,16.97,72.39,27.35,27.03,27.66,B-M18,component,-1.23,LINER
Arp220_sum,0.095,420,52.45,7.05,44.99,8.11,7.98,8.24,44.5,45.21,30.18,93.27,27.52,27.28,27.77,B-M18,full,-1.23,LINER
Mrk876,3.54,1050,740.75,9.38,45.78,8.3,8.04,8.52,45.74,45.82,362.8,1512.42,28.67,28.36,28.98,Lut19,full,-0.63,Type 1
Mrk231,0.6,700,330.88,8.43,45.96,8.24,8.08,8.39,45.81,46.06,162.06,707.41,28.32,28.01,28.65,Cic12,full,-0.39,Type 1
Mrk231_1,0.16,100,478.27,8.86,45.96,8.24,8.08,8.39,45.81,46.06,228.91,976.5,28.48,28.16,28.79,G-A17,component,-0.39,Type 1
Mrk231_2,0.6,550,245.29,8.41,45.96,8.24,8.08,8.39,45.81,46.06,120.14,512.48,28.19,27.88,28.51,G-A17,component,-0.39,Type 1
Mrk231_3,0.17,700,388.75,7.96,45.96,8.24,8.08,8.39,45.81,46.06,186.07,812.22,28.39,28.07,28.71,G-A17,component,-0.39,Type 1
Mrk231_sum,0.24,240,1287.52,9.07,45.96,8.24,8.08,8.39,45.81,46.06,831.3,2040.59,28.91,28.72,29.11,G-A17,full,-0.39,Type 1
IRASF11119_1,7,1000,81.22,8.75,46.03,7.98,7.74,8.19,45.82,46.17,38.88,173.65,27.71,27.39,28.04,Veil17,full,-0.06,Type 1
